,제품번호,물품명,물품대대분류,물품대분류,물품중분류,상품중량
653,10002654V2_512,말린산나물모음,가공식품,말린나물/건재,기타,자연산:70g
654,10002655V2_513,말린삼잎국화나물,가공식품,말린나물/건재,말린삼잎국화나물,70g
655,10002656V2_514,말린아주까리잎,가공식품,말린나물/건재,말린아주까리잎(100g),100g
656,10002657V2_515,말린표고버섯,신선식품,버섯,표고버섯,150g
657,10002658V2_515,말린표고버섯,신선식품,버섯,표고버섯,썬것:100g
658,10002659V2_516,말린표고칩,신선식품,버섯,표고버섯,100g
659,10002660V2_517,말린홍합,가공식품,건어물,기타건어류,200g
660,10002661V2_518,맑은바다구운김선물모음,신선식품,밑반찬,김가공,
661,10002662V2_519,맛간장,가공식품,장,간장,900ml
662,10002663V2_520,맛김치,신선식품,김치,배추,1kg
663,10002664V2_520,맛김치,신선식품,김치,배추,300g
664,10002665V2_521,맛이 진한 무지방우유,신선식품,유제품,우유/산양유,900ml
665,10002666V2_522,맛조개국,가공식품,수산가공,국/탕(수산),500g
666,10002667V2_523,매생이,신선식품,생물수산,생물해조류,냉장/400g
667,10002668V2_523,매생이,신선식품,해조,기타해조류,400g
668,10002669V2_524,매실부재료,가공식품,가루,가루/기타,
669,10002670V2_525,매운감자라면,가공식품,밀가공,라면,110g:1봉
670,10002671V2_525,매운감자라면,가공식품,밀가공,라면,1묶음:4봉
671,10002672V2_525,매운감자라면,가공식품,밀가공,라면,1상자:6묶음
672,10002673V2_526,매운맛돈육포,가공식품,육가공,육포/기타,70g
673,10002674V2_527,매운탕솥,비식품,식기/편백,옹기,
674,10002675V2_528,매일견과,가공식품,과자,스낵,25g
675,10002676V2_528,매일견과,가공식품,과자,스낵,25g*10봉
676,10002677V2_529,매콤소스순살닭강정,가공식품,육가공,돈가스/분쇄가공,"강정400g,소스160g"
677,10002678V2_530,매화마을 매실고,가공식품,음료,음료기타,80g
678,10002679V2_531,매화마을청매실원,가공식품,음료,발효음료,420ml
679,10002680V2_532,머리고기순댓국,가공식품,육가공,식육추출가공,800g
680,10002681V2_533,머위대,신선식품,잎/줄기채소,머위,400g
681,10002682V2_534,머위잎,신선식품,잎/줄기채소,머위잎,200g
682,10002683V2_535,멍게살,신선식품,생물수산,패류/갑각류,180g
683,10002684V2_536,메론,신선식품,과일채소,메론,4kg이상:2통
684,10002685V2_537,메론_머스크/대,신선식품,과일채소,메론,2kg:1통
685,10002686V2_538,메론_머스크/소,신선식품,과일채소,메론,1~1.5kg:1통
686,10002687V2_539,메론_머스크/중,신선식품,과일채소,메론,1.5~2kg:1통
687,10002688V2_540,메론_백자/대,신선식품,과일채소,메론,1kg:1통
688,10002689V2_541,메론_백자/중,신선식품,과일채소,메론,0.8~1kg:1통
689,10002690V2_542,메론_하니원/대,신선식품,과일채소,메론,1.5kg:1통
690,10002691V2_543,메론_하니원/중,신선식품,과일채소,메론,1.2~1.5kg:1통
691,10002692V2_544,메밀가루,가공식품,가루,곡식가루,500g
692,10002693V2_545,메밀국수,가공식품,밀가공,국수,400g
693,10002694V2_546,메밀국수소스,가공식품,소스/기타양념,소스,220ml
694,10002695V2_547,메밀묵,신선식품,어묵/묵,묵,420g
695,10002696V2_548,메밀차,가공식품,차,곡류차,200g
696,10002697V2_549,메주,가공식품,장,메주,1말:약6-7kg:솔뫼
697,10002698V2_549,메주,가공식품,장,메주,반말:3-3.5kg:또바기
698,10002699V2_549,메주,가공식품,장,메주,반말:약3-3.5kg:솔뫼
699,10002700V2_549,메주,가공식품,장,메주,반말:약3-4.5kg:우리콩영농
700,10002701V2_550,메주가루,가공식품,가루,양념가루,500g
701,10002702V2_550,메주가루,가공식품,가루,양념가루,막장용:500g
702,10002703V2_551,메주콩/국산,가공식품,콩/화본/깨,콩,500g
703,10002704V2_552,메주콩/유,가공식품,콩/화본/깨,콩,500g
704,10002705V2_553,멥쌀가루,가공식품,가루,곡식가루,건식/500g
705,10002706V2_554,면생리대,비식품,생활용품,위생용품,대형/1개
706,10002707V2_554,면생리대,비식품,생활용품,위생용품,오버나이트/1개
707,10002708V2_554,면생리대,비식품,생활용품,위생용품,일반형/1개
708,10002709V2_554,면생리대,비식품,생활용품,위생용품,팬티라이너/3개
709,10002710V2_555,면생리대속지,비식품,생활용품,위생용품,대형/3장
710,10002711V2_555,면생리대속지,비식품,생활용품,위생용품,오버나이트/2장
711,10002712V2_555,면생리대속지,비식품,생활용품,위생용품,일반/3장
712,10002713V2_556,멸치모음,가공식품,건어물,멸치류,2종
713,10002714V2_556,멸치모음,가공식품,건어물,멸치류,3종
714,10002715V2_557,멸치바삭,가공식품,수산가공,수산가공간식,30g
715,10002716V2_558,멸치액젓,가공식품,수산가공,젓갈/액젓,1kg
716,10002717V2_558,멸치액젓,가공식품,수산가공,젓갈/액젓,2.1kg
717,10002718V2_559,멸치육젓,가공식품,수산가공,젓갈/액젓,1.8kg/1되
718,10002719V2_560,명란젓,가공식품,수산가공,젓갈/액젓,300g
719,10002720V2_561,명이나물,신선식품,잎/줄기채소,명이나물,1kg
720,10002721V2_561,명이나물,신선식품,잎/줄기채소,명이나물,200g
721,10002722V2_562,명태생선가스,가공식품,수산가공,수산가공반찬,240g
722,10002723V2_563,명태참어묵,신선식품,어묵/묵,어묵,300g
723,10002724V2_564,모과차,가공식품,차,절임차,460g
724,10002725V2_565,모기기피제,비식품,생활용품,기타생활용품,100㎖
725,10002726V2_565,모기기피제,비식품,생활용품,기타생활용품,로즈마리향
726,10002727V2_566,모둠구이용,신선식품,돼지,무항생제(냉장),무항생제/500g
727,10002728V2_567,모듬배기찰떡,신선식품,떡,즉석떡,160g
728,10002729V2_568,모듬플레이크,가공식품,식사대용,씨리얼,280g
729,10002730V2_569,모듬해초,신선식품,해조,기타해조류,20g
730,10002731V2_570,모자반,신선식품,해조,기타해조류,200g
731,10002732V2_571,목심,신선식품,중량(정육),돼지(중량),무항생제-성남용인
732,10002733V2_572,목심구이-성남용인,신선식품,중량(정육),돼지(중량),
733,10002734V2_573,목심국거리,신선식품,소,한우(냉장),신선육/200g
734,10002735V2_574,목심국거리-성남용인,신선식품,중량(정육),한우(중량),
735,10002736V2_575,목심국거리용/조각,신선식품,소,유기한우(냉장),유기/200g
736,10002737V2_576,목심살,신선식품,돼지,보리살림(냉장),300g
737,10002738V2_576,목심살,신선식품,돼지,보리살림(냉장),500g
738,10002739V2_576,목심살,신선식품,돼지,보리살림돼지,600g/우리보리살림돼지
739,10002740V2_577,목욕때비누,비식품,세제/세안,세안비누,1장
740,10002741V2_578,목이버섯,신선식품,버섯,목이버섯,200g
741,10002742V2_579,목초우유,신선식품,유제품,우유/산양유,200ml
742,10002743V2_579,목초우유,신선식품,유제품,우유/산양유,200ml*3병
743,10002744V2_579,목초우유,신선식품,유제품,우유/산양유,900ml
744,10002745V2_579,목초우유,신선식품,유제품,우유/산양유,900ml-쿠폰북행사
745,10002746V2_580,못난이개인접시,비식품,식기/편백,자기,
746,10002747V2_581,못난이뚜껑볼,비식품,식기/편백,자기,
747,10002748V2_582,못난이사과,신선식품,과일,사과,2kg
748,10002749V2_583,못난이사과/무,신선식품,과일,사과,1.5kg
749,10002750V2_584,못난이사과/유,신선식품,과일,사과,1.5kg
750,10002751V2_585,몽블랑페스츄리,신선식품,빵,페스츄리류,210g
751,10002752V2_585,몽블랑페스츄리,신선식품,빵,페스츄리류,210g/
752,10002753V2_586,무,신선식품,뿌리채소,무,0.7~1kg/토박이
753,10002754V2_586,무,신선식품,뿌리채소,무,0.7~1kg미만
754,10002755V2_586,무,신선식품,뿌리채소,무,1kg이상
755,10002756V2_586,무,신선식품,뿌리채소,무,1kg이상/토박이
756,10002757V2_586,무,신선식품,뿌리채소,무,400~600g
757,10002758V2_586,무,신선식품,뿌리채소,무,500~700g
758,10002759V2_586,무,신선식품,뿌리채소,무,600~800g/하품
759,10002760V2_586,무,신선식품,뿌리채소,무,600~800g미만
760,10002761V2_586,무,신선식품,뿌리채소,무,800g이상
761,10002762V2_586,무,신선식품,뿌리채소,무,800g이상/하품
762,10002763V2_587,무농약사과즙,가공식품,음료,과즙,1L
763,10002764V2_588,무말림,가공식품,말린나물/건재,무말림(200g),200g
764,10002765V2_588,무말림,가공식품,말린나물/건재,무말림(200g),가는것:200g
765,10002766V2_589,무말림무침,신선식품,밑반찬,무침,200g
766,10002767V2_590,무쇠가마솥,비식품,식기/편백,무쇠,5인용
767,10002768V2_590,무쇠가마솥,비식품,식기/편백,무쇠,6인용
768,10002769V2_590,무쇠가마솥,비식품,식기/편백,무쇠,6인용/길들임
769,10002770V2_591,무쇠미니팬,비식품,식기/편백,무쇠,
770,10002771V2_591,무쇠미니팬,비식품,식기/편백,무쇠,길들임
771,10002772V2_592,무쇠삼겹살구이판,비식품,식기/편백,무쇠,길들임
772,10002773V2_593,무쇠프라이팬,비식품,식기/편백,무쇠,대
773,10002774V2_593,무쇠프라이팬,비식품,식기/편백,무쇠,대/길들임
774,10002775V2_593,무쇠프라이팬,비식품,식기/편백,무쇠,소/길들임
775,10002776V2_593,무쇠프라이팬,비식품,식기/편백,무쇠,중
776,10002777V2_593,무쇠프라이팬,비식품,식기/편백,무쇠,중/길들임
777,10002778V2_594,무순,신선식품,잎/줄기채소,무순,40g
778,10002779V2_595,무시래기,가공식품,말린나물/건재,무시래기(100g),100g
779,10002780V2_595,무시래기,가공식품,말린나물/건재,무시래기(100g),삶지않은것:100g
780,10002781V2_596,무쌈,가공식품,절임/장아찌,절임,300g
781,10002782V2_597,무장아찌,가공식품,절임/장아찌,장아찌,500g
782,10002783V2_598,무화과,신선식품,과일,무화과,600g
783,10002784V2_599,문장대생기차,가공식품,음료,건강차,120ml
784,10002785V2_599,문장대생기차,가공식품,음료,건강차,120ml*10봉
785,10002786V2_600,문장대오미자원액,가공식품,음료,발효음료,700ml
786,10002787V2_600,문장대오미자원액,가공식품,음료,발효음료,720㎖
787,10002788V2_601,물만두,가공식품,밀가공,만두,500g
788,10002789V2_602,물사랑 구연산 섬유유연제,비식품,세제/세안,세탁비누,1.0ℓ
789,10002790V2_602,물사랑 구연산 섬유유연제,비식품,세제/세안,세탁비누,보충용:1.4ℓ
790,10002791V2_603,물사랑 산소계표백제,비식품,세제/세안,세탁비누,1kg
791,10002792V2_604,물사랑 세탁가루비누,비식품,세제/세안,세탁비누,2.5kg
792,10002793V2_605,물사랑 세탁조세정제,비식품,세제/세안,살균/세정/탈취,500㎖
793,10002794V2_606,물사랑 어린이치약,비식품,생활용품,치약/칫솔,딸기향
794,10002795V2_606,물사랑 어린이치약,비식품,생활용품,치약/칫솔,블루베리향
795,10002796V2_607,물사랑 온몸용물비누,비식품,세제/세안,바디,500㎖
796,10002797V2_607,물사랑 온몸용물비누,비식품,세제/세안,바디,보충용:400㎖
797,10002798V2_608,물사랑 주방용물비누,비식품,세제/세안,주방용비누,500㎖
798,10002799V2_608,물사랑 주방용물비누,비식품,세제/세안,주방용비누,기획/750㎖
799,10002800V2_608,물사랑 주방용물비누,비식품,세제/세안,주방용비누,보충용:1400㎖
800,10002801V2_609,물사랑 중성세제,비식품,세제/세안,세탁비누,1.5ℓ
801,10002802V2_609,물사랑 중성세제,비식품,세제/세안,세탁비누,보충용:1.4ℓ
802,10002803V2_610,물사랑 프로폴리치약,비식품,생활용품,치약/칫솔,130g*2개
803,10002804V2_611,물사랑 휴대용치약,비식품,생활용품,치약/칫솔,50g*2개
804,10002805V2_612,물사랑치약,비식품,생활용품,치약/칫솔,150g*2개
805,10002806V2_612,물사랑치약,비식품,생활용품,치약/칫솔,150g*2개-쿠폰북
806,10002807V2_613,미나리,신선식품,잎/줄기채소,미나리,200g
807,10002808V2_614,미니단호박,신선식품,열매채소,미니단호박,1개/대/450g이상
808,10002809V2_614,미니단호박,신선식품,열매채소,미니단호박,1개/소/250g~300g
809,10002810V2_614,미니단호박,신선식품,열매채소,미니단호박,1개/소/350~500g
810,10002811V2_614,미니단호박,신선식품,열매채소,미니단호박,1개/중/300g~450g
811,10002812V2_614,미니단호박,신선식품,열매채소,미니단호박,800g이상/2~3개
812,10002813V2_615,미니사과,신선식품,과일,사과,500g
813,10002814V2_616,미니파운드케이크,신선식품,빵,단과자빵,130g
814,10002815V2_617,미니파프리카,신선식품,열매채소,파프리카,250g
815,10002816V2_618,미더덕,신선식품,냉동수산,기타냉동수산,250g
816,10002817V2_619,미르25,가공식품,전통주,증류주,전통소주/375ml
817,10002818V2_620,미르모음,가공식품,전통주,증류주,전통소주/375ml*2병
818,10002819V2_621,미숫가루,가공식품,식사대용,선식/생식,700g
819,10002820V2_622,미역,신선식품,해조,미역/다시마,150g
820,10002821V2_623,미역다시마 선물모음,신선식품,해조,미역/다시마,
821,10002822V2_624,미역줄기,신선식품,해조,미역/다시마,300g
822,10002823V2_625,미온,가공식품,전통주,리큐르/기타,맛술/300ml
823,10002824V2_626,미온모음,가공식품,전통주,리큐르/기타,맛술/300ml*3병
824,10002825V2_627,민어전부침용,신선식품,냉동수산,냉동생선,300g
825,10002826V2_628,밀랍/티라이트초리필,비식품,생활용품,환경용품,
826,10002827V2_629,밀랍초 만들기모음,비식품,생활용품,환경용품,
827,10002828V2_630,밀크팬/14㎝,비식품,식기/편백,스테인리스,
828,10002829V2_631,바로먹는닭가슴살,가공식품,육가공,햄/소시지/훈제,200g
829,10002830V2_632,바로먹는카레,가공식품,소스/기타양념,소스,220g
830,10002831V2_633,바삭바삭크래커,가공식품,과자,스낵,80g
831,10002832V2_634,바삭한대추,신선식품,과일,냉동건조과일,유/무:50g
832,10002833V2_635,바지락살,신선식품,냉동수산,냉동패류,250g
833,10002834V2_636,바질,신선식품,잎/줄기채소,바질,15g
834,10002835V2_637,반건조도루묵,신선식품,냉동수산,냉동생선,600g
835,10002836V2_638,반디나물,신선식품,잎/줄기채소,반디나물,150g/채소꾸러미용
836,10002837V2_638,반디나물,신선식품,잎/줄기채소,반디나물,참나물개량종:150g
837,10002838V2_639,반마른오징어,가공식품,건어물,오징어류,2마리:230g
838,10002839V2_640,반찬기4호세트,비식품,식기/편백,옹기,5개
839,10002840V2_641,반찬기5호세트,비식품,식기/편백,옹기,5개
840,10002841V2_642,발아녹미,가공식품,유색미/발아미,발아미,800g
841,10002842V2_643,발아삼색미,가공식품,유색미/발아미,발아미,800g
842,10002843V2_644,발아적미,가공식품,유색미/발아미,발아미,800g
843,10002844V2_645,발아찹쌀현미,가공식품,유색미/발아미,발아미,800g
844,10002845V2_646,발아현미,가공식품,유색미/발아미,발아미,800g
845,10002846V2_647,발아흑미,가공식품,유색미/발아미,발아미,800g
846,10002847V2_648,발효가시복분자잼,가공식품,잼/병조림/기타,잼,300g
847,10002848V2_649,발효어성초 지성비누,비식품,세제/세안,세안비누,1장
848,10002849V2_650,발효황차,가공식품,차,잎꽃차,30g
849,10002850V2_651,발효황차 모음,가공식품,차,잎꽃차,30g*2봉
850,10002851V2_652,밤,가공식품,견과,밤,200g_대보름
851,10002852V2_653,밤/무,가공식품,견과,밤,1kg
852,10002853V2_654,밤/선물용,가공식품,견과,밤,4kg
853,10002854V2_655,밤/유,가공식품,견과,밤,1kg
854,10002855V2_655,밤/유,가공식품,견과,밤,600g
855,10002856V2_656,밤빵,신선식품,빵,단과자빵,165g/
856,10002857V2_657,밤콩/무,가공식품,콩/화본/깨,콩,500g
857,10002858V2_658,밤콩/유,가공식품,콩/화본/깨,콩,500g
858,10002859V2_659,밥풀과자,가공식품,과자,스낵,120g
859,10002860V2_659,밥풀과자,가공식품,과자,스낵,소:80g
860,10002861V2_660,방구리,비식품,식기/편백,옹기,소
861,10002862V2_661,방울무,신선식품,뿌리채소,방울무,레디쉬/200g
862,10002863V2_662,방울양배추,신선식품,잎/줄기채소,양배추,200g
863,10002864V2_663,방울유과,가공식품,과자,한과/유과,70g
864,10002865V2_664,방울토마토/대추형,신선식품,과일채소,방울토마토,1kg
865,10002866V2_664,방울토마토/대추형,신선식품,과일채소,방울토마토,2kg
866,10002867V2_664,방울토마토/대추형,신선식품,과일채소,방울토마토,500g
867,10002868V2_664,방울토마토/대추형,신선식품,과일채소,방울토마토,500g:소
868,10002869V2_665,방풍나물,신선식품,잎/줄기채소,방풍나물,150g
869,10002870V2_666,방풍장아찌,가공식품,절임/장아찌,장아찌,400g
870,10002871V2_667,배,신선식품,과일,배,대:3개
871,10002872V2_667,배,신선식품,과일,배,소:3개
872,10002873V2_667,배,신선식품,과일,배,중:3개
873,10002874V2_667,배,신선식품,과일,배,특대:1개
874,10002875V2_668,배/,신선식품,과일,배,대:5kg
875,10002876V2_669,배/무,신선식품,과일,배,대:3개
876,10002877V2_669,배/무,신선식품,과일,배,중:3개
877,10002878V2_670,배/선물용,신선식품,과일,배,대:7.5kg
878,10002879V2_671,배/유,신선식품,과일,배,대:3개
879,10002880V2_671,배/유,신선식품,과일,배,소:3개
880,10002881V2_671,배/유,신선식품,과일,배,중:3개
881,10002882V2_672,배농축액,가공식품,소스/기타양념,기타양념,480g
882,10002883V2_672,배농축액,가공식품,소스/기타양념,기타양념,480g/아름드리
883,10002884V2_673,배즙,가공식품,음료,과즙,120ml/1봉
884,10002885V2_673,배즙,가공식품,음료,과즙,1상자:120ml*30봉
885,10002886V2_674,배추,신선식품,잎/줄기채소,배추,3포기
886,10002887V2_675,배추김치,신선식품,김치,배추,2kg
887,10002888V2_676,백김치,신선식품,김치,배추,2kg
888,10002889V2_677,백김치그릇,비식품,식기/편백,자기,분청
889,10002890V2_678,백미/유,가공식품,멥쌀,멥쌀,1kg
890,10002891V2_678,백미/유,가공식품,멥쌀,멥쌀,2kg
891,10002892V2_678,백미/유,가공식품,멥쌀,멥쌀,2kg-쿠폰북행사
892,10002893V2_678,백미/유,가공식품,멥쌀,멥쌀,4kg
893,10002894V2_678,백미/유,가공식품,멥쌀,멥쌀,4kg-등급:상
894,10002895V2_678,백미/유,가공식품,멥쌀,멥쌀,8kg
895,10002896V2_679,백미가래떡,신선식품,떡,가래떡,400g
896,10002897V2_680,백미뻥과자,가공식품,과자,스낵,55g
897,10002898V2_681,백숙용오리,신선식품,닭/오리,무항생제오리,1.5kg
898,10002899V2_682,백숙용토종닭,신선식품,닭/오리,토종닭,1마리
899,10002900V2_683,백숙용통닭,신선식품,닭/오리,논지엠오닭,우리보리살림닭/0.85~1kg
900,10002901V2_683,백숙용통닭,신선식품,닭/오리,무항생제닭,0.85~1kg
901,10002902V2_684,벌꿀채소액,가공식품,건강일반,추출/농축액,120ml
902,10002903V2_684,벌꿀채소액,가공식품,건강일반,추출/농축액,120ml*25봉
903,10002904V2_685,베타쌈배추,신선식품,쌈채소류,베타쌈배추,150g
904,10002905V2_686,별꽃주머니,비식품,생활용품,기타생활용품,1장
905,10002906V2_687,병어,신선식품,냉동수산,냉동생선,2~3마리/260g
906,10002907V2_688,보리,가공식품,보리/혼합곡,보리,무/1kg
907,10002908V2_689,보리새우,가공식품,건어물,기타건어류,150g
908,10002909V2_690,보리순,신선식품,잎/줄기채소,보리순,100g
909,10002910V2_691,보리카스텔라,신선식품,빵,단과자빵,220g
910,10002911V2_692,보쌈용,신선식품,돼지,보리살림돼지,600g/우리보리살림돼지
911,10002912V2_693,보쌈용돼지고기,신선식품,돼지,무항생제돼지,600g
912,10002913V2_694,보티브 꿀초,비식품,생활용품,환경용품,
913,10002914V2_695,보호용 꿀왁스,비식품,생활용품,환경용품,가구/가죽용
914,10002915V2_696,복분자/오미자원액모음,가공식품,음료,발효음료,
915,10002916V2_697,복숭아,신선식품,과일,복숭아,2kg
916,10002917V2_698,복숭아/무농약,신선식품,과일,복숭아,2kg
917,10002918V2_699,복숭아잼,가공식품,잼/병조림/기타,잼,280g
918,10002919V2_700,볶은소금,가공식품,소금,가공소금,1kg
919,10002920V2_701,볶은알땅콩/무,가공식품,견과,땅콩,300g
920,10002921V2_701,볶은알땅콩/무,가공식품,견과,땅콩,400g
921,10002922V2_702,볶은왕소금,가공식품,소금,가공소금,500g
922,10002923V2_703,볶은참깨,가공식품,가루,양념가루,100g
923,10002924V2_703,볶은참깨,가공식품,가루,양념가루,150g
924,10002925V2_704,볶은콩가루,가공식품,가루,곡식가루,무/300g
925,10002926V2_705,볶은피땅콩,가공식품,견과,땅콩,120g
926,10002927V2_705,볶은피땅콩,가공식품,견과,땅콩,500g
927,10002928V2_706,볶은홍화씨,가공식품,음료,건강차,400g
928,10002929V2_706,볶은홍화씨,가공식품,음료,건강차,무/400g
929,10002930V2_707,볶음멸치,가공식품,건어물,멸치류,300g
930,10002931V2_708,볶음멸치/상,가공식품,건어물,멸치류,300g
931,10002932V2_709,볶음용생닭,신선식품,닭/오리,논지엠오닭,900g
932,10002933V2_709,볶음용생닭,신선식품,닭/오리,무항생제닭,냉장/900g
933,10002934V2_710,볶음용토종닭,신선식품,닭/오리,토종닭,1kg
934,10002935V2_711,봄동,신선식품,잎/줄기채소,봄동,500g
935,10002936V2_712,부숴먹는라면,가공식품,과자,스낵,90g:1봉
936,10002937V2_712,부숴먹는라면,가공식품,과자,스낵,박스:20봉
937,10002938V2_713,부채살로스-성남용인,신선식품,중량(정육),한우(중량),
938,10002939V2_714,부추,신선식품,잎/줄기채소,부추,200g
939,10002940V2_714,부추,신선식품,잎/줄기채소,부추,300g
940,10002941V2_715,부추김치,신선식품,김치,기타채소,300g
941,10002942V2_716,부침가루,가공식품,가루,프리믹스,500g/무농약
942,10002943V2_716,부침가루,가공식품,가루,프리믹스,500g/무-쿠폰북행사
943,10002944V2_717,분말청국장,가공식품,장,장류/기타,270g
944,10002945V2_718,분쇄육,신선식품,돼지,보리살림돼지,300g/우리보리살림돼지
945,10002946V2_719,불고기갈비양념,가공식품,소스/기타양념,기타양념,270g
946,10002947V2_720,불고기구이판,비식품,식기/편백,옹기,
947,10002948V2_721,불고기양념/고추장모음,가공식품,소스/기타양념,기타양념,
948,10002949V2_722,불고기양념소시지,가공식품,육가공,햄/소시지/훈제,300g
949,10002950V2_722,불고기양념소시지,가공식품,육가공,햄/소시지/훈제,300g-
950,10002951V2_723,불고기용,신선식품,돼지,보리살림돼지,600g/우리보리살림돼지
951,10002952V2_723,불고기용,신선식품,소,유기한우(냉장),유기/250g
952,10002953V2_724,불고기햄,가공식품,육가공,햄/소시지/훈제,400g-
953,10002954V2_725,붉은대게,신선식품,생물수산,패류/갑각류,2kg/5~6미
954,10002955V2_725,붉은대게,신선식품,생물수산,패류/갑각류,350g*4미
955,10002956V2_725,붉은대게,신선식품,생물수산,패류/갑각류,550g*3미
956,10002957V2_726,붉은대게 다리살,가공식품,수산가공,게장/게살,100g
957,10002958V2_727,붉은대게 모듬살,가공식품,수산가공,게장/게살,100g
958,10002959V2_728,붉은대게고운살,가공식품,수산가공,게장/게살,240g
959,10002960V2_729,붉은새우젓,가공식품,수산가공,젓갈/액젓,1.8kg
960,10002961V2_730,브로컬리,신선식품,잎/줄기채소,브로컬리,1+1행사
961,10002962V2_730,브로컬리,신선식품,잎/줄기채소,브로컬리,250g
962,10002963V2_730,브로컬리,신선식품,잎/줄기채소,브로컬리,350g
963,10002964V2_731,브로컬리가루,가공식품,가루,과채가루,80g
964,10002965V2_732,브로컬리곁순말림,가공식품,말린나물/건재,기타,70g
965,10002966V2_733,브로콜리새우죽,가공식품,식사대용,죽,220g
966,10002967V2_734,블루베리,신선식품,과일,블루베리,500g
967,10002968V2_735,블루베리롤케이크,신선식품,빵,"케이크,롤,선물",95g/조각롤
968,10002969V2_736,블루베리요구르트,신선식품,유제품,요구르트,120ml
969,10002970V2_737,블루베리잼,가공식품,잼/병조림/기타,잼,280g
970,10002971V2_738,블루베리진액,가공식품,음료,발효음료,80ml*20봉
971,10002972V2_739,블루베리케이크,신선식품,빵,"케이크,롤,선물",2호/18cm/550g
972,10002973V2_740,블루베리크림빵,신선식품,빵,앙금크림빵,184g/
973,10002974V2_741,비가림감귤/유,신선식품,과일,귤(비가림),대:3kg
974,10002975V2_742,비누주머니세트,비식품,세제/세안,주방용비누,3장
975,10002976V2_743,비름나물,신선식품,잎/줄기채소,비름나물,200g
976,10002977V2_744,비빔냉면,가공식품,밀가공,간편조리면,420g/2인분
977,10002978V2_745,비빔라면,가공식품,밀가공,라면,140g:1봉
978,10002979V2_745,비빔라면,가공식품,밀가공,라면,1묶음:4봉
979,10002980V2_746,비타X,비식품,생활용품,숯/원예,영양제
980,10002981V2_747,비타민고추,신선식품,열매채소,비타민고추,1kg
981,10002982V2_747,비타민고추,신선식품,열매채소,비타민고추,300g
982,10002983V2_748,비타민채소,신선식품,잎/줄기채소,비타민채소,200g
983,10002984V2_749,뻘낙지,신선식품,냉동수산,기타냉동수산,600g/3마리이상
984,10002985V2_750,뽕나무새순차,가공식품,음료,건강차,100g
985,10002986V2_751,뽕나물,가공식품,말린나물/건재,뽕잎나물(100g),냉동/300g
986,10002987V2_752,뽕잎가루,가공식품,건강일반,분말/환,200g
987,10002988V2_753,뽕잎나물/무,가공식품,말린나물/건재,뽕잎나물(100g),100g
988,10002989V2_754,뽕잎환,가공식품,건강일반,분말/환,230g
989,10002990V2_755,사골고기곰국,가공식품,육가공,식육추출가공,냉동:1.1kg
990,10002991V2_756,사골곰국,가공식품,육가공,식육추출가공,냉동:1kg
991,10002992V2_757,사골꼬리곰국,가공식품,육가공,식육추출가공,냉동:1.1kg
992,10002993V2_758,사과,신선식품,과일,사과,2kg
993,10002994V2_758,사과,신선식품,과일,사과,5kg
994,10002995V2_758,사과,신선식품,과일,사과,5kg/홍옥
995,10002996V2_758,사과,신선식품,과일,사과,소:2kg
996,10002997V2_758,사과,신선식품,과일,사과,소:5kg
997,10002998V2_759,사과 선물용,신선식품,과일,사과,5kg
998,10002999V2_760,사과 제수용,신선식품,과일,사과,4개입
999,100021000V2_761,사과/,신선식품,과일,사과,2kg/대
1000,100021001V2_761,사과/,신선식품,과일,사과,2kg/소
1001,100021002V2_761,사과/,신선식품,과일,사과,2kg/중
1002,100021003V2_761,사과/,신선식품,과일,사과,5kg/대
1003,100021004V2_761,사과/,신선식품,과일,사과,5kg/중
1004,100021005V2_762,사과/무,신선식품,과일,사과,1.5kg
1005,100021006V2_763,사과/유,신선식품,과일,사과,1.5kg
1006,100021007V2_764,사과농축액,가공식품,소스/기타양념,기타양념,480g
1007,100021008V2_764,사과농축액,가공식품,소스/기타양념,기타양념,500g
1008,100021009V2_765,사과당근즙,가공식품,음료,과즙,130ml
1009,100021010V2_765,사과당근즙,가공식품,음료,과즙,130ml*10봉
1010,100021011V2_765,사과당근즙,가공식품,음료,과즙,150ml
1011,100021012V2_765,사과당근즙,가공식품,음료,과즙,150ml*10개
1012,100021013V2_766,사과대추,신선식품,과일,생대추,500g
1013,100021014V2_767,사과잼,가공식품,잼/병조림/기타,잼,280g
1014,100021015V2_767,사과잼,가공식품,잼/병조림/기타,잼,480g
1015,100021016V2_768,사과즙,가공식품,음료,과즙,/한울:180ml
1016,100021017V2_768,사과즙,가공식품,음료,과즙,180ml*10병
1017,100021018V2_768,사과즙,가공식품,음료,과즙,620ml
1018,100021019V2_769,사리면,가공식품,밀가공,라면,100g
1019,100021020V2_770,사태국거리-성남용인,신선식품,중량(정육),한우(중량),
1020,100021021V2_771,사태국거리용,신선식품,소,유기한우(냉장),유기/200g
1021,100021022V2_771,사태국거리용,신선식품,소,한우(냉장),안심대안/200g
1022,100021023V2_772,사태살,신선식품,돼지,보리살림돼지,600g/우리보리살림돼지
1023,100021024V2_773,삭힌고추무침,신선식품,밑반찬,무침,200g
1024,100021025V2_774,산골간장,가공식품,장,간장,900ml
1025,100021026V2_775,산골과채,가공식품,음료,발효음료,700ml
1026,100021027V2_776,산골된장,가공식품,장,된장,900g
1027,100021028V2_777,산골솔잎,가공식품,음료,발효음료,700ml
